Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,LinkedIn,Facebook,Contact Email,Phone Number,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Similar Companies,Trend Score (90 Days),Patents Granted,Most Popular Patent Class,Trademarks Registered,Most Popular Trademark Class
AreaWFI,https://www.crunchbase.com/organization/areawfi,,"Telecommunications, Wired Telecommunications","Milano, Lombardia, Italy",AreaWFI is a telecommunication systems company that offers secure broadband services.,"2,522,828","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,Active,2016-01-01,year,,,,,For Profit,https://areawfi.com/,https://www.linkedin.com/company/areawfi/,https://www.facebook.com/AreaWFI,,,,,,,,,,,,,,,"Hardware, Messaging and Telecommunications",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,8,1.8,,,,
The Grand House,https://www.crunchbase.com/organization/the-grand-house,,"Hospitality, Real Estate, Rental Property","Rome, Lazio, Italy",The Grand House offers apartment and villas for rental services.,"2,556,006","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$10M to $50M,Active,2019-01-01,year,,,,,For Profit,https://www.thegrandhouse.com,https://www.linkedin.com/company/the-grand-house,https://www.facebook.com/thegrandhouseitaly,booking@thegrandhouse.com,,The Grand House offers the market the exclusive hospitality of the private homes together with hotel services.,,,,,,,,,,,,"Real Estate, Travel and Tourism",,,51-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,8,-1,,,,
Sharengo,https://www.crunchbase.com/organization/sharengo,,"Car Sharing, Electric Vehicle, Transportation","Milan, Lombardia, Italy","Sharengo specializes in electric vehicle charging, non-polluting car sharing, and smart mobility services.","2,566,597","European Union (EU), Europe, Middle East, and Africa (EMEA)",20122,,Active,2014-01-01,year,,,,,For Profit,http://www.sharengo.it,https://www.linkedin.com/company/share'ngo,https://www.facebook.com/Sharengozd,servizioclienti@sharengo.eu,+39 02 8731 7140,,,,,,,,,,,,,Transportation,,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,9,-0.6,,,,
Blueoak,https://www.crunchbase.com/organization/blueoak,,"Drones, Graphic Design, Information Technology, Quality Assurance, Web Design","Bagno A Ripoli, Toscana, Italy","Blueoak is an information technology company that offers quality assurance, graphic design, and web design services.","2,611,030","European Union (EU), Europe, Middle East, and Africa (EMEA)",50012,$1M to $10M,Active,2013-01-01,year,,,,,For Profit,https://www.blueoak.it,https://www.linkedin.com/company/blueoak,,info@blueoak.it,+39 055 5357508,,,,,,,,,,,,,"Consumer Electronics, Consumer Goods, Design, Hardware, Information Technology, Professional Services",3,"Carlo Martelli, Chiara Malesci, Lorenzo Massai",11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,13,-0.6,0,,1,Common metals and their alloys; ores
EyeTech,https://www.crunchbase.com/organization/eyetech-1957,,"Electronics, Hardware, Sensor","Höganäs, Skane Lan, Sweden","EyeTech supplies vision sensors, barcode readers, industrial PCs, and verification equipment.","2,616,640","European Union (EU), Nordic Countries, Scandinavia",263 34,Less than $1M,Active,2020-01-01,year,,,,,For Profit,https://eyetech.nu,https://www.linkedin.com/company/eyetech-ab,https://www.facebook.com/EyetechAB,,+46 72 160 25 02,,,,,,,,,,,,,"Consumer Electronics, Hardware",1,Jonas Andersson,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,-1.6,,,,
Henshin,https://www.crunchbase.com/organization/henshin,,"Animation, Management Consulting, Media and Entertainment, Video Games","Berkeley, California, United States","We help companies be successful in anime and related industries through insights, growth, and innovation.","2,647,623","San Francisco Bay Area, West Coast, Western US",94710,$1M to $10M,Active,2014-08-01,month,,,,,For Profit,https://henshin.com,https://www.linkedin.com/company/henshin,,inquiries@henshin.com,510-992-6700,"Henshin is the world’s first management consulting practice for the anime sector. We help companies be successful in anime and related industries through insights, growth, and innovation.",,,,,,,,,,,,"Gaming, Media and Entertainment, Professional Services, Video",1,Rob Pereyda,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,6,-1.6,0,,2,Education; entertainment
Carosio,https://www.crunchbase.com/organization/carosio,,"Building Material, Home Improvement, Wholesale","Chascomús, Buenos Aires, Argentina","Carosio provides on-site delivery, investment opportunities, and ambient installations with a focus on exclusive porcelain tiles.","2,650,840",Latin America,7130,$10M to $50M,Active,1986-01-01,year,,,,,For Profit,https://www.carosio.com.ar,https://www.linkedin.com/company/carosio,https://www.facebook.com/carosio/,info@sanitarioscarosio.com.ar,+54  02241 425428,,,,,,,,,,,,,"Commerce and Shopping, Real Estate",,,51-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,2.9,,,,
FOR,https://www.crunchbase.com/organization/for-0769,,"Industrial, Machinery Manufacturing, Manufacturing","Poggio Renatico, Emilia-Romagna, Italy",FOR manufactures hydraulic connectors and flexible hydraulic tube assemblies.,"2,740,543","European Union (EU), Europe, Middle East, and Africa (EMEA)",44028,$50M to $100M,Active,1979-01-01,year,,,,,For Profit,https://www.forfittings.it,https://www.linkedin.com/company/for-spa,,for@forfittings.it,+39 0532 825211,"FOR produces hydraulic connectors as well as flexible hydraulic tube assemblies. They intend to be strategic partners with OEMs and dealers of technical equipment in a wide range of industries, including construction, agricultural, material handling, mining, off-road, energy, recycling, and industrial applications. They may provide specific transportation solutions, such as customised packing and hose kitting.",,,,,,,,,,,,Manufacturing,,,251-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,5,-0.5,1,Engineering Elements And Units; General Measures For Producing And Maintaining Effective Functioning Of Machines Or Installations,4,Common metals and their alloys; ores
Kyme NanoImaging,https://www.crunchbase.com/organization/kyme-nanoimaging,,"Manufacturing, Medical, Medical Device, Nanotechnology","Napoli, Campania, Italy",KYME NanoImaging produces injectable medical products for clinical contrast agents.,"2,777,847","European Union (EU), Europe, Middle East, and Africa (EMEA)",80132,,Active,2018-01-01,year,,,,,For Profit,https://kymenanoimaging.com,https://www.linkedin.com/company/kyme-nanoimaging-srl/,https://www.facebook.com/profile.php?id=100063510313316,info@kymenanoimaging.com,+39 328 955 8158,"Kyme NanoImaging offers injectable medical products for magnetic resonance imaging, combining biomaterials with clinical contrast agents through nanotechnology.",,,,,,,,,,,,"Health Care, Manufacturing, Science and Engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,10,-0.1,2,Medical Or Veterinary Science; Hygiene,0,
Bauzone,https://www.crunchbase.com/organization/bauzone,,"Architecture, Property Development, Real Estate","Mondsee, Oberosterreich, Austria","Bauzone GmbH offers architecture, property development, and general contracting services for various construction projects.","2,821,596","European Union (EU), Europe, Middle East, and Africa (EMEA)",5310,$1M to $10M,Active,2003-01-01,year,,,,,For Profit,https://www.bauzone.at,https://www.linkedin.com/company/bauzone-gmbh/,,office@bauzone.at,+43 6232 20290,"Bauzone GmbH specializes in architecture and planning for residential homes, commercial properties, and investment projects. With a focus on creating tailored solutions for each client's vision of their property, Bauzone GmbH operates as a modern architecture, property development, and general contracting company. The firm offers comprehensive services for construction projects across various regions including Salzburg, Upper Austria, Styria, and plans for future expansion. Bauzone GmbH is committed to delivering projects that meet the specific needs and expectations of its clients, leveraging a team of professionals to ensure quality and satisfaction throughout the construction process.",,,,,,,,,,,,Real Estate,,,51-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,-0.1,,,,
Desidoo,https://www.crunchbase.com/organization/desidoo,,"Consulting, Machine Learning, Mobile, Product Design, Project Management","Torino, Piemonte, Italy","Desidoo is a consulting company that offers design, project management, mobile development, data science, and machine learning services.","2,846,119","European Union (EU), Europe, Middle East, and Africa (EMEA)",10141,$1M to $10M,Active,2018-01-01,year,,,,,For Profit,https://desidoo.com,https://www.linkedin.com/company/desidoo-com-s-r-l/,https://www.facebook.com/DesidooItalia/,info@desidoo.com,+39 011 3331723,,,,,,,,,,,,,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Design, Mobile, Other, Professional Services, Software",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,10,1.6,,,,
Bewize,https://www.crunchbase.com/organization/bewize,,EdTech,"Casablanca, Grand Casablanca, Morocco","Bewize is a mobile learning platform, promoting student's autonomy and using gamification approach","2,868,620","Middle East and North Africa (MENA), North Africa, Europe, Middle East, and Africa (EMEA)",,,Active,2022-08-01,day,,,,,For Profit,https://www.bewize.ma,https://www.linkedin.com/company/bewize,https://www.facebook.com/bewize.net,contact@bewize.ma,,"Bewize is a mobile learning platform, promoting student's autonomy and using gamification approach  Autonomous and playful learning: An usage centred pedagogy, promoting interactivity with the student to unleash his potential, and using a playful approach to maximize his commitment. Data Driven Education: A rich dashboard and an intelligent recommendation system, allowing to detect the student's achievements and shortcomings, in order to provide better remediation.",,,,,,,,,,,,"Education, Software",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,-1.1,,,,
SMART Business Lab,https://www.crunchbase.com/organization/smart-business-lab,,"Business Development, Consulting, Finance","Belo Horizonte, Minas Gerais, Brazil","SMART Business Lab is a strategy and business management consultancy company in business, strategy, and finance.","2,874,181",Latin America,,,Active,2010-01-01,year,,,,,For Profit,https://smartie.com.br,https://www.linkedin.com/company/smart-businesslab,https://www.facebook.com/smartbusineslab/,contato@smartie.com.br,(31) 3658-1326,,,,,,,,,,,,,"Financial Services, Professional Services",,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,0,,,,
Asfer,https://www.crunchbase.com/organization/asfer,,"Industrial, Machinery Manufacturing, Manufacturing","Konya, Konya, Turkey","Asfer offers agricultural machinery, tractor accessories, and farming tools with delivery services across Turkey.","2,910,038","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",42130,$1M to $10M,Active,1978-01-01,year,,,,,For Profit,https://www.asfer.com.tr,https://www.linkedin.com/company/asfer1,,bilgi@asfer.com.tr,+90 444 71 54,"Asfer specializes in agricultural machinery and equipment, offering a wide range of products including cultivator parts, tractor accessories, and various farming tools. The company provides easy and secure shopping options, with delivery services available across Turkey. Asfer also engages in wholesale distribution and is known for its comprehensive catalog of agricultural products.",,,,,,,,,,,,Manufacturing,,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,11,-1.9,,,,
LeafBox,https://www.crunchbase.com/organization/leafbox,,"Consumer, Electronics","Bengaluru, Karnataka, India",Leaf box is a natural air purifier that helps in purifying the polluted air by enhancing the quality of air.,"2,957,341",Asia-Pacific (APAC),,,Active,2017-01-01,day,,,,,For Profit,http://airleafbox.com/,https://www.linkedin.com/company/leafbox-technologies-pvt-ltd/,https://www.facebook.com/PureAirMatters/,contact@airleafbox.com,91 8892534482,,,,,,,,,,,,,"Consumer Electronics, Hardware, Other",2,"Kiran Raj, Praveen Kumar",1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1.1,,,,
RI_CREA,https://www.crunchbase.com/organization/ri-crea,,"Architecture, Environmental Engineering, Renewable Energy","Nocelleto, Marche, Italy","RI_CREA provides urban design, architecture, renewable energy, research, and development services.","2,979,058","European Union (EU), Europe, Middle East, and Africa (EMEA)",81030,,Active,,,,,,,For Profit,http://www.ri-crea.com,,,info@ri-crea.com,,"RI_CREA provides environmental heritage, urban design and architecture, renewable energies, spatial planning, and territorial governance, urban policies, conservation and intervention, research, and design experimentation activities.",,,,,,,,,,,,"Energy, Real Estate, Science and Engineering, Sustainability",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,10,-0.7,,,,
Glambnb,https://www.crunchbase.com/organization/glambnb,,"Apps, Customer Service, Travel Accommodations","Cagliari, Sardegna, Italy",Glambnb is a booking platform for glamping stays.,"2,986,475","European Union (EU), Europe, Middle East, and Africa (EMEA)",09124,$1M to $10M,Active,2017-01-01,year,,,,,For Profit,https://glambnb.com,https://www.linkedin.com/company/glambnb/,https://www.facebook.com/glambnb,info@glambnb.com,+39 349 76 88 287,,,,,,,,,,,,,"Apps, Other, Professional Services, Software, Travel and Tourism",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,10,0,,,,
NISO Biomed,https://www.crunchbase.com/organization/niso-biomed,,Biotechnology,"Turin, Piemonte, Italy",NISO Biomed is a privately held company that diagnostic devices for gastroenterology and cancer prevention.,"2,992,812","European Union (EU), Europe, Middle East, and Africa (EMEA)",10154,,Active,,,,,,,For Profit,http://www.endofaster.com/,,,info@nisobiomed.com,+39 (0)11 2407044,NISO Biomed is a privately held company that diagnostic devices for gastroenterology and cancer prevention.,,,,,,,,,,,,"Biotechnology, Science and Engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2,0,1,Medical Or Veterinary Science; Hygiene,2,Medical apparatus and instruments
3D4MEC,https://www.crunchbase.com/organization/3d4mec,,,,Metal 3D printing solutions provider,"2,996,790",,,,Active,,,,,,,For Profit,https://3d4mec.com/home-eng/,,,,,,,,,,,,,,,,,,1,Ivano Corsini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1,,,,
Insect Technology,https://www.crunchbase.com/organization/insect-technology,,"Biotechnology, Life Science, Recycling",,Insect Technology is biotechnology firm that designs and develops solutions that re-uses every type of organic waste completely.,"3,032,322",,,,Active,,,,,,,For Profit,https://www.insect-tech.jp/,,,,,,,,,,,,,,,,,"Biotechnology, Science and Engineering, Sustainability",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,10,-0.6,,,,
Tripoow,https://www.crunchbase.com/organization/tripoow,,"Internet, Mobile, Software","Catania, Sicilia, Italy",Tripoow is offers a mobile application for flight booking.,"3,060,028","European Union (EU), Europe, Middle East, and Africa (EMEA)",95127,,Active,2016-01-01,year,,,,,For Profit,https://www.tripoow.com,https://www.linkedin.com/company/tripoow,https://www.facebook.com/pg/tripoowapp,info@tripoow.com,,Tripoow is a mobile app that allows you to reproduce the experience of the travel agency by taking advantage of the convenience of the web. How many times has it happened to you of wanting to travel but not knowing where to go? How many hours have you spent looking for destination by destination the most convenient destinations trying to cross dates? With Tripoow we are the ones doing the job for you.,,,,,,,,,,,,"Internet Services, Mobile, Software",,,1-10,1,Seed,2017-01-01,,,,Seed,,,,Seed,,,,,,,Digital Magics,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2,1.2,0,,1,"Transport, packaging and storing"
